['-0.0000520622', '-0.0000192643', '0.3073238706', '0.9999999811', '-0.0001267419', '0.0001476147', '0.0000000719', '-0.0010795159', '0.0244449763', '-0.0567544417', '0.0017296087', '0.0244450237', '-0.0567545404', '-0.0007834898', '0.0244449105', '-0.0567560284', '0.0014337988', '0.0244449583', '-0.0567561277']
['-0.0060905021', '-0.0006670156', '0.5180603801', '0.9997857760', '-0.0004381601', '0.0206932373', '-0.0000097441', '-0.0880988956', '0.7965650989', '-1.4910158919', '0.0881004373', '0.7964965758', '-1.4910339353', '-0.0995017644', '0.9889911556', '-1.5021689269', '0.0994052158', '0.9889533925', '-1.5022226133']
['-0.0064239642', '-0.0006698252', '0.5160808227', '0.9997632403', '-0.0004380133', '0.0217548027', '-0.0000101733', '-0.0875291246', '0.7965719478', '-1.4911115624', '0.0875610004', '0.7965036843', '-1.4911303730', '-0.0994904475', '0.9888628050', '-1.5026379870', '0.0993961341', '0.9888295638', '-1.5026915365']
['-0.0067556214', '-0.0006721604', '0.5138525577', '0.9997396828', '-0.0004378140', '0.0228117268', '-0.0000105677', '-0.0872508602', '0.7965793067', '-1.4911898194', '0.0872983586', '0.7965113977', '-1.4912091590', '-0.0994869663', '0.9888101007', '-1.5028772181', '0.0993938216', '0.9887792794', '-1.5029304097']
['-0.0070862420', '-0.0006740538', '0.5113775840', '0.9997151389', '-0.0004376568', '0.0238631382', '-0.0000109571', '-0.0871246446', '0.7965879077', '-1.4912601205', '0.0871800758', '0.7965203548', '-1.4912797743', '-0.0994870530', '0.9887990555', '-1.5029934132', '0.0993945405', '0.9887695616', '-1.5030461832']
['-0.0074162412', '-0.0006755236', '0.5086569499', '0.9996896354', '-0.0004375581', '0.0249086593', '-0.0000113513', '-0.0870777264', '0.7965976319', '-1.4913267395', '0.0871370593', '0.7965304095', '-1.4913465476', '-0.0994887269', '0.9888108718', '-1.5030437622', '0.0993965678', '0.9887821336', '-1.5030961037']
['-0.0077457539', '-0.0006765793', '0.5056911207', '0.9996632175', '-0.0004375103', '0.0259472536', '-0.0000117538', '-0.0870720955', '0.7966082806', '-1.4913914311', '0.0871332115', '0.7965413607', '-1.4914112849', '-0.0994910838', '0.9888473233', '-1.5030594949', '0.0993991195', '0.9888199226', '-1.5031114661']
['-0.0080748467', '-0.0006772209', '0.5024801246', '0.9996359079', '-0.0004374874', '0.0269788814', '-0.0000121588', '-0.0871030674', '0.7966194389', '-1.4914549127', '0.0871635694', '0.7965528073', '-1.4914747581', '-0.0994937142', '0.9889096561', '-1.5030571389', '0.0994018557', '0.9888840669', '-1.5031087642']
['-0.0084035707', '-0.0006775597', '0.4990239976', '0.9996077253', '-0.0004374748', '0.0280036436', '-0.0000125677', '-0.0871673737', '0.7966308603', '-1.4915175764', '0.0872253998', '0.7965645025', '-1.4915373748', '-0.0994964242', '0.9889965430', '-1.5030452721', '0.0994046578', '0.9889731211', '-1.5030965547']
['-0.0087319688', '-0.0006777386', '0.4953227974', '0.9995786868', '-0.0004374638', '0.0290216690', '-0.0000129827', '-0.0872614079', '0.7966424108', '-1.4915796412', '0.0873157527', '0.7965763110', '-1.4915993602', '-0.0994991277', '0.9891053604', '-1.5030283441', '0.0994074904', '0.9890843482', '-1.5030792763']
['-0.0090600789', '-0.0006778329', '0.4913765945', '0.9995488089', '-0.0004374518', '0.0300330983', '-0.0000134028', '-0.0873814919', '0.7966540161', '-1.4916412264', '0.0874313518', '0.7965881610', '-1.4916608426', '-0.0995018005', '0.9892328155', '-1.5030086623', '0.0994103360', '0.9892143740', '-1.5030592350']
['-0.0093879357', '-0.0006778826', '0.4871854657', '0.9995181071', '-0.0004374388', '0.0310380744', '-0.0000138264', '-0.0875238886', '0.7966656357', '-1.4917023973', '0.0875687234', '0.7966000150', '-1.4917218951', '-0.0995044409', '0.9893753186', '-1.5029874263', '0.0994131857', '0.9893595442', '-1.5030376320']
['-0.0097155713', '-0.0006779088', '0.4827494910', '0.9994865962', '-0.0004374252', '0.0320367361', '-0.0000142520', '-0.0876848360', '0.7966772478', '-1.4917631895', '0.0877242923', '0.7966118539', '-1.4917825589', '-0.0995070543', '0.9895292032', '-1.5029652648', '0.0994160347', '0.9895161376', '-1.5030150975']
['-0.0100430154', '-0.0006779226', '0.4780687509', '0.9994542908', '-0.0004374118', '0.0330292141', '-0.0000146783', '-0.0878605907', '0.7966888410', '-1.4918236220', '0.0878944583', '0.7966236683', '-1.4918428563', '-0.0995096468', '0.9896908647', '-1.5029425126', '0.0994188807', '0.9896805018', '-1.5029919682']
['-0.0103702952', '-0.0006779299', '0.4731433248', '0.9994212052', '-0.0004373990', '0.0340156284', '-0.0000151043', '-0.0880474737', '0.7967004103', '-1.4918837038', '0.0880756592', '0.7966354543', '-1.4919027988', '-0.0995122234', '0.9898568522', '-1.5029193552', '0.0994217223', '0.9898491433', '-1.5029684305']
['-0.0106974354', '-0.0006779338', '0.4679732892', '0.9993873535', '-0.0004373871', '0.0349960863', '-0.0000155293', '-0.0882419161', '0.7967119534', '-1.4919434379', '0.0882644255', '0.7966472107', '-1.4919623908', '-0.0995147877', '0.9900239324', '-1.5028959021', '0.0994245590', '0.9900187909', '-1.5029445949']
['-0.0110244579', '-0.0006779359', '0.4625587173', '0.9993527498', '-0.0004373763', '0.0359706814', '-0.0000159531', '-0.0884405011', '0.7967234701', '-1.4920028238', '0.0884574270', '0.7966589378', '-1.4920216327', '-0.0995173424', '0.9901891350', '-1.5028722258', '0.0994273902', '0.9901864415', '-1.5029205346']
['-0.0113513820', '-0.0006779371', '0.4568996775', '0.9993174082', '-0.0004373666', '0.0369394929', '-0.0000163751', '-0.0886400020', '0.7967349609', '-1.4920618583', '0.0886515127', '0.7966706365', '-1.4920805216', '-0.0995198891', '0.9903497850', '-1.5028483802', '0.0994302159', '0.9903493915', '-1.5028963041']
['-0.0116782239', '-0.0006779378', '0.4509962330', '0.9992813430', '-0.0004373581', '0.0379025853', '-0.0000167953', '-0.0888374153', '0.7967464267', '-1.4921205365', '0.0888437456', '0.7966823081', '-1.4921390534', '-0.0995224289', '0.9905035248', '-1.5028244110', '0.0994330360', '0.9905052594', '-1.5028719497']
['-0.0120049973', '-0.0006779384', '0.4448484413', '0.9992445688', '-0.0004373507', '0.0388600081', '-0.0000172134', '-0.0890299878', '0.7967578685', '-1.4921788524', '0.0890314299', '0.7966939538', '-1.4921972220', '-0.0995249626', '0.9906483266', '-1.5028003596', '0.0994358505', '0.9906519981', '-1.5028475135']
['-0.0123317127', '-0.0006779388', '0.4384563534', '0.9992071003', '-0.0004373442', '0.0398117967', '-0.0000176295', '-0.0892152396', '0.7967692873', '-1.4922367990', '0.0892121339', '0.7967055749', '-1.4922550211', '-0.0995274906', '0.9907824986', '-1.5027762660', '0.0994386592', '0.9907879012', '-1.5028230356']
['-0.0126583782', '-0.0006779393', '0.4318200142', '0.9991689527', '-0.0004373385', '0.0407579730', '-0.0000180434', '-0.0893909797', '0.7967806839', '-1.4922943692', '0.0893837066', '0.7967171723', '-1.4923124434', '-0.0995300131', '0.9909046840', '-1.5027521685', '0.0994414621', '0.9909116012', '-1.5027985553']
